Team,Venue,Opponent,Score,Attendance,Referee
Arsenal,Home,Leicester City,'4 - 2,60033,Darren England
Arsenal,Home,Fulham,'2 - 1,60164,Jarred Gillett
Arsenal,Home,Aston Villa,'2 - 1,60012,Robert Jones
Arsenal,Home,Tottenham,'3 - 1,60278,Anthony Taylor
Arsenal,Home,Liverpool,'3 - 2,60059,Michael Oliver
Arsenal,Home,Nott'ham Forest,'5 - 0,60263,Simon Hooper
Arsenal,Home,West Ham,'3 - 1,60125,Michael Oliver
Arsenal,Home,Newcastle Utd,'0 - 0,60319,Andy Madley
Arsenal,Home,Manchester Utd,'3 - 2,60325,Anthony Taylor
Manchester City,Home,Bournemouth,'4 - 0,53453,David Coote
Manchester City,Home,Crystal Palace,'4 - 2,53112,Darren England
Manchester City,Home,Nott'ham Forest,'6 - 0,53409,Paul Tierney
Manchester City,Home,Manchester Utd,'6 - 3,53475,Michael Oliver
Manchester City,Home,Southampton,'4 - 0,53365,Andy Madley
Manchester City,Home,Brighton,'3 - 1,53223,Craig Pawson
Manchester City,Home,Fulham,'2 - 1,52395,Darren England
Manchester City,Home,Brentford,'1 - 2,52786,Peter Bankes
Manchester City,Home,Everton,'1 - 1,53444,Andy Madley
Manchester City,Home,Tottenham,'4 - 2,53088,Simon Hooper
Manchester City,Home,Wolves,'3 - 0,53282,David Coote
Manchester Utd,Home,Brighton,'1 - 2,73711,Paul Tierney
Manchester Utd,Home,Liverpool,'2 - 1,74147,Michael Oliver
Manchester Utd,Home,Arsenal,'3 - 1,73431,Paul Tierney
Manchester Utd,Home,Newcastle Utd,'0 - 0,73726,Craig Pawson
Manchester Utd,Home,Tottenham,'2 - 0,73677,Simon Hooper
Manchester Utd,Home,West Ham,'1 - 0,73682,Chris Kavanagh
Manchester Utd,Home,Nott'ham Forest,'3 - 0,73608,Anthony Taylor
Manchester Utd,Home,Bournemouth,'3 - 0,73322,Michael Salisbury
Manchester Utd,Home,Manchester City,'2 - 1,75546,Stuart Attwell
Manchester Utd,Home,Crystal Palace,'2 - 1,73420,Andre Marriner
Newcastle Utd,Home,Nott'ham Forest,'2 - 0,52245,Simon Hooper
Newcastle Utd,Home,Manchester City,'3 - 3,52258,Jarred Gillett
Newcastle Utd,Home,Crystal Palace,'0 - 0,51863,Michael Salisbury
Newcastle Utd,Home,Bournemouth,'1 - 1,52238,Craig Pawson
Newcastle Utd,Home,Brentford,'5 - 1,52067,John Brooks
Newcastle Utd,Home,Everton,'1 - 0,52247,Tony Harrington
Newcastle Utd,Home,Aston Villa,'4 - 0,52233,Paul Tierney
Newcastle Utd,Home,Chelsea,'1 - 0,52264,Robert Jones
Newcastle Utd,Home,Leeds United,'0 - 0,52211,Simon Hooper
Newcastle Utd,Home,Fulham,'1 - 0,52247,Robert Jones
Newcastle Utd,Home,West Ham,'1 - 1,52256,Peter Bankes
Tottenham,Home,Southampton,'4 - 1,61732,Andre Marriner
Tottenham,Home,Wolves,'1 - 0,61298,Simon Hooper
Tottenham,Home,Fulham,'2 - 1,61641,Stuart Attwell
Tottenham,Home,Leicester City,'6 - 2,61450,Simon Hooper
Tottenham,Home,Everton,'2 - 0,61812,Paul Tierney
Tottenham,Home,Newcastle Utd,'1 - 2,61726,Jarred Gillett
Tottenham,Home,Liverpool,'1 - 2,62008,Andy Madley
Tottenham,Home,Leeds United,'4 - 3,61667,Michael Salisbury
Tottenham,Home,Aston Villa,'0 - 2,61651,John Brooks
Tottenham,Home,Arsenal,'0 - 2,61870,Craig Pawson
Tottenham,Home,Manchester City,'1 - 0,61747,Andy Madley
Brighton,Home,Newcastle Utd,'0 - 0,31552,Graham Scott
Brighton,Home,Leeds United,'1 - 0,30953,Michael Salisbury
Brighton,Home,Leicester City,'5 - 2,31185,Tony Harrington
Brighton,Home,Tottenham,'0 - 1,31498,Tony Harrington
Brighton,Home,Nott'ham Forest,'0 - 0,31463,Darren England
Brighton,Home,Chelsea,'4 - 1,31746,Andy Madley
Brighton,Home,Aston Villa,'1 - 2,31581,Chris Kavanagh
Brighton,Home,Arsenal,'2 - 4,31647,Anthony Taylor
Brighton,Home,Liverpool,'3 - 0,31645,Darren England
Brighton,Home,Bournemouth,'1 - 0,31600,Craig Pawson
Brentford,Home,Manchester Utd,'4 - 0,17051,Stuart Attwell
Brentford,Home,Everton,'1 - 1,17009,John Brooks
Brentford,Home,Leeds United,'5 - 2,17092,Robert Jones
Brentford,Home,Arsenal,'0 - 3,17122,David Coote
Brentford,Home,Brighton,'2 - 0,17016,Michael Salisbury
Brentford,Home,Chelsea,'0 - 0,17118,Jarred Gillett
Brentford,Home,Wolves,'1 - 1,17051,Robert Madley
Brentford,Home,Tottenham,'2 - 2,17137,David Coote
Brentford,Home,Liverpool,'3 - 1,17163,Stuart Attwell
Brentford,Home,Bournemouth,'2 - 0,17031,Jarred Gillett
Brentford,Home,Southampton,'3 - 0,17051,Darren Bond
Fulham,Home,Liverpool,'2 - 2,22207,Andy Madley
Fulham,Home,Brentford,'3 - 2,21798,Peter Bankes
Fulham,Home,Brighton,'2 - 1,22224,Thomas Bramall
Fulham,Home,Newcastle Utd,'1 - 4,22913,Darren England
Fulham,Home,Bournemouth,'2 - 2,22541,Graham Scott
Fulham,Home,Aston Villa,'3 - 0,23508,Michael Oliver
Fulham,Home,Everton,'0 - 0,23534,John Brooks
Fulham,Home,Manchester Utd,'1 - 2,24246,Paul Tierney
Fulham,Home,Southampton,'2 - 1,24344,Graham Scott
Fulham,Home,Chelsea,'2 - 1,24460,David Coote
Fulham,Home,Tottenham,'0 - 1,24190,Paul Tierney
Chelsea,Home,Tottenham,'2 - 2,39946,Anthony Taylor
Chelsea,Home,Leicester City,'2 - 1,39953,Paul Tierney
Chelsea,Home,West Ham,'2 - 1,39923,Andy Madley
Chelsea,Home,Wolves,'3 - 0,39940,Simon Hooper
Chelsea,Home,Manchester Utd,'1 - 1,39503,Stuart Attwell
Chelsea,Home,Arsenal,'0 - 1,40142,Michael Oliver
Chelsea,Home,Bournemouth,'2 - 0,40046,Simon Hooper
Chelsea,Home,Manchester City,'0 - 1,39998,Paul Tierney
Chelsea,Home,Crystal Palace,'1 - 0,40075,Peter Bankes
Chelsea,Home,Fulham,'0 - 0,40041,Stuart Attwell
Liverpool,Home,Crystal Palace,'1 - 1,52970,Paul Tierney
Liverpool,Home,Bournemouth,'9 - 0,53328,Stuart Attwell
Liverpool,Home,Newcastle Utd,'2 - 1,53316,Andre Marriner
Liverpool,Home,Brighton,'3 - 3,53320,Andy Madley
Liverpool,Home,Manchester City,'1 - 0,53286,Anthony Taylor
Liverpool,Home,West Ham,'1 - 0,52982,Stuart Attwell
Liverpool,Home,Leeds United,'1 - 2,53274,Michael Oliver
Liverpool,Home,Southampton,'3 - 1,53331,Simon Hooper
Liverpool,Home,Leicester City,'2 - 1,53343,Craig Pawson
Liverpool,Home,Chelsea,'0 - 0,53126,Michael Oliver
Aston Villa,Home,Everton,'2 - 1,41883,Michael Oliver
Aston Villa,Home,West Ham,'0 - 1,41796,David Coote
Aston Villa,Home,Manchester City,'1 - 1,41830,Simon Hooper
Aston Villa,Home,Southampton,'1 - 0,40758,Tony Harrington
Aston Villa,Home,Chelsea,'0 - 2,41754,Robert Jones
Aston Villa,Home,Brentford,'4 - 0,41693,Darren England
Aston Villa,Home,Manchester Utd,'3 - 1,42058,Anthony Taylor
Aston Villa,Home,Liverpool,'1 - 3,42085,Paul Tierney
Aston Villa,Home,Wolves,'1 - 1,39978,Jarred Gillett
Aston Villa,Home,Leeds United,'2 - 1,42008,Michael Oliver
Aston Villa,Home,Leicester City,'2 - 4,42055,Darren England
Crystal Palace,Home,Arsenal,'0 - 2,25286,Anthony Taylor
Crystal Palace,Home,Aston Villa,'3 - 1,22012,Andy Madley
Crystal Palace,Home,Brentford,'1 - 1,25043,Simon Hooper
Crystal Palace,Home,Chelsea,'1 - 2,25198,Chris Kavanagh
Crystal Palace,Home,Leeds United,'2 - 1,25042,Paul Tierney
Crystal Palace,Home,Wolves,'2 - 1,25125,David Coote
Crystal Palace,Home,Southampton,'1 - 0,25130,Michael Salisbury
Crystal Palace,Home,Fulham,'0 - 3,25176,Andy Madley
Crystal Palace,Home,Tottenham,'0 - 4,25132,Michael Oliver
Crystal Palace,Home,Manchester Utd,'1 - 1,23343,Robert Jones
Crystal Palace,Home,Newcastle Utd,'0 - 0,25350,Craig Pawson
Nott'ham Forest,Home,West Ham,'1 - 0,29281,Robert Jones
Nott'ham Forest,Home,Tottenham,'0 - 2,29296,Craig Pawson
Nott'ham Forest,Home,Bournemouth,'2 - 3,28720,Michael Oliver
Nott'ham Forest,Home,Fulham,'2 - 3,28654,Jarred Gillett
Nott'ham Forest,Home,Aston Villa,'1 - 1,29208,Anthony Taylor
Nott'ham Forest,Home,Liverpool,'1 - 0,29245,Paul Tierney
Nott'ham Forest,Home,Brentford,'2 - 2,28869,Andre Marriner
Nott'ham Forest,Home,Crystal Palace,'1 - 0,29045,John Brooks
Nott'ham Forest,Home,Chelsea,'1 - 1,29229,Peter Bankes
Nott'ham Forest,Home,Leicester City,'2 - 0,29301,Paul Tierney
Nott'ham Forest,Home,Leeds United,'1 - 0,29363,Robert Jones
Leicester City,Home,Brentford,'2 - 2,31794,Jarred Gillett
Leicester City,Home,Southampton,'1 - 2,30850,Michael Salisbury
Leicester City,Home,Manchester Utd,'0 - 1,32226,Craig Pawson
Leicester City,Home,Nott'ham Forest,'4 - 0,32202,Robert Jones
Leicester City,Home,Crystal Palace,'0 - 0,31298,Andy Madley
Leicester City,Home,Leeds United,'2 - 0,30814,Peter Bankes
Leicester City,Home,Manchester City,'0 - 1,32223,Robert Jones
Leicester City,Home,Newcastle Utd,'0 - 3,32185,Jarred Gillett
Leicester City,Home,Fulham,'0 - 1,30813,Darren Bond
Leicester City,Home,Brighton,'2 - 2,32056,Thomas Bramall
Wolves,Home,Fulham,'0 - 0,31178,John Brooks
Wolves,Home,Newcastle Utd,'1 - 1,31311,Peter Bankes
Wolves,Home,Southampton,'1 - 0,30546,John Brooks
Wolves,Home,Manchester City,'0 - 3,31578,Anthony Taylor
Wolves,Home,Nott'ham Forest,'1 - 0,31554,Thomas Bramall
Wolves,Home,Leicester City,'0 - 4,31425,Michael Oliver
Wolves,Home,Brighton,'2 - 3,30732,Graham Scott
Wolves,Home,Arsenal,'0 - 2,34624,Stuart Attwell
Wolves,Home,Manchester Utd,'0 - 1,31658,Robert Jones
Wolves,Home,West Ham,'1 - 0,31511,Simon Hooper
Wolves,Home,Liverpool,'3 - 0,31664,Paul Tierney
West Ham,Home,Manchester City,'0 - 2,62443,Michael Oliver
West Ham,Home,Brighton,'0 - 2,62449,Anthony Taylor
West Ham,Home,Tottenham,'1 - 1,62450,Peter Bankes
West Ham,Home,Wolves,'2 - 0,62444,Paul Tierney
West Ham,Home,Fulham,'3 - 1,62407,Chris Kavanagh
West Ham,Home,Bournemouth,'2 - 0,62447,David Coote
West Ham,Home,Crystal Palace,'1 - 2,62451,Paul Tierney
West Ham,Home,Leicester City,'0 - 2,62459,Jarred Gillett
West Ham,Home,Brentford,'0 - 2,62467,Darren England
West Ham,Home,Everton,'2 - 0,62470,Stuart Attwell
Leeds United,Home,Wolves,'2 - 1,36347,Robert Jones
Leeds United,Home,Chelsea,'3 - 0,36372,Stuart Attwell
Leeds United,Home,Everton,'1 - 1,36338,Darren England
Leeds United,Home,Aston Villa,'0 - 0,36582,Stuart Attwell
Leeds United,Home,Arsenal,'0 - 1,36700,Chris Kavanagh
Leeds United,Home,Fulham,'2 - 3,36447,Anthony Taylor
Leeds United,Home,Bournemouth,'4 - 3,36304,Tony Harrington
Leeds United,Home,Manchester City,'1 - 3,36889,Stuart Attwell
Leeds United,Home,West Ham,'2 - 2,36173,David Coote
Leeds United,Home,Brentford,'0 - 0,36260,Peter Bankes
Arsenal,Home,Leicester City,'4 - 2,60033,Darren England
Arsenal,Home,Fulham,'2 - 1,60164,Jarred Gillett
Arsenal,Home,Aston Villa,'2 - 1,60012,Robert Jones
Arsenal,Home,Tottenham,'3 - 1,60278,Anthony Taylor
Arsenal,Home,Liverpool,'3 - 2,60059,Michael Oliver
Arsenal,Home,Nott'ham Forest,'5 - 0,60263,Simon Hooper
Arsenal,Home,West Ham,'3 - 1,60125,Michael Oliver
Arsenal,Home,Newcastle Utd,'0 - 0,60319,Andy Madley
Arsenal,Home,Manchester Utd,'3 - 2,60325,Anthony Taylor
Manchester City,Home,Bournemouth,'4 - 0,53453,David Coote
Manchester City,Home,Crystal Palace,'4 - 2,53112,Darren England
Manchester City,Home,Nott'ham Forest,'6 - 0,53409,Paul Tierney
Manchester City,Home,Manchester Utd,'6 - 3,53475,Michael Oliver
Manchester City,Home,Southampton,'4 - 0,53365,Andy Madley
Manchester City,Home,Brighton,'3 - 1,53223,Craig Pawson
Manchester City,Home,Fulham,'2 - 1,52395,Darren England
Manchester City,Home,Brentford,'1 - 2,52786,Peter Bankes
Manchester City,Home,Everton,'1 - 1,53444,Andy Madley
Manchester City,Home,Tottenham,'4 - 2,53088,Simon Hooper
Manchester City,Home,Wolves,'3 - 0,53282,David Coote
Manchester Utd,Home,Brighton,'1 - 2,73711,Paul Tierney
Manchester Utd,Home,Liverpool,'2 - 1,74147,Michael Oliver
Manchester Utd,Home,Arsenal,'3 - 1,73431,Paul Tierney
Manchester Utd,Home,Newcastle Utd,'0 - 0,73726,Craig Pawson
Manchester Utd,Home,Tottenham,'2 - 0,73677,Simon Hooper
Manchester Utd,Home,West Ham,'1 - 0,73682,Chris Kavanagh
Manchester Utd,Home,Nott'ham Forest,'3 - 0,73608,Anthony Taylor
Manchester Utd,Home,Bournemouth,'3 - 0,73322,Michael Salisbury
Manchester Utd,Home,Manchester City,'2 - 1,75546,Stuart Attwell
Manchester Utd,Home,Crystal Palace,'2 - 1,73420,Andre Marriner
Newcastle Utd,Home,Nott'ham Forest,'2 - 0,52245,Simon Hooper
Newcastle Utd,Home,Manchester City,'3 - 3,52258,Jarred Gillett
Newcastle Utd,Home,Crystal Palace,'0 - 0,51863,Michael Salisbury
Newcastle Utd,Home,Bournemouth,'1 - 1,52238,Craig Pawson
Newcastle Utd,Home,Brentford,'5 - 1,52067,John Brooks
Newcastle Utd,Home,Everton,'1 - 0,52247,Tony Harrington
Newcastle Utd,Home,Aston Villa,'4 - 0,52233,Paul Tierney
Newcastle Utd,Home,Chelsea,'1 - 0,52264,Robert Jones
Newcastle Utd,Home,Leeds United,'0 - 0,52211,Simon Hooper
Newcastle Utd,Home,Fulham,'1 - 0,52247,Robert Jones
Newcastle Utd,Home,West Ham,'1 - 1,52256,Peter Bankes
Tottenham,Home,Southampton,'4 - 1,61732,Andre Marriner
Tottenham,Home,Wolves,'1 - 0,61298,Simon Hooper
Tottenham,Home,Fulham,'2 - 1,61641,Stuart Attwell
Tottenham,Home,Leicester City,'6 - 2,61450,Simon Hooper
Tottenham,Home,Everton,'2 - 0,61812,Paul Tierney
Tottenham,Home,Newcastle Utd,'1 - 2,61726,Jarred Gillett
Tottenham,Home,Liverpool,'1 - 2,62008,Andy Madley
Tottenham,Home,Leeds United,'4 - 3,61667,Michael Salisbury
Tottenham,Home,Aston Villa,'0 - 2,61651,John Brooks
Tottenham,Home,Arsenal,'0 - 2,61870,Craig Pawson
Tottenham,Home,Manchester City,'1 - 0,61747,Andy Madley
Brighton,Home,Newcastle Utd,'0 - 0,31552,Graham Scott
Brighton,Home,Leeds United,'1 - 0,30953,Michael Salisbury
Brighton,Home,Leicester City,'5 - 2,31185,Tony Harrington
Brighton,Home,Tottenham,'0 - 1,31498,Tony Harrington
Brighton,Home,Nott'ham Forest,'0 - 0,31463,Darren England
Brighton,Home,Chelsea,'4 - 1,31746,Andy Madley
Brighton,Home,Aston Villa,'1 - 2,31581,Chris Kavanagh
Brighton,Home,Arsenal,'2 - 4,31647,Anthony Taylor
Brighton,Home,Liverpool,'3 - 0,31645,Darren England
Brighton,Home,Bournemouth,'1 - 0,31600,Craig Pawson
Brentford,Home,Manchester Utd,'4 - 0,17051,Stuart Attwell
Brentford,Home,Everton,'1 - 1,17009,John Brooks
Brentford,Home,Leeds United,'5 - 2,17092,Robert Jones
Brentford,Home,Arsenal,'0 - 3,17122,David Coote
Brentford,Home,Brighton,'2 - 0,17016,Michael Salisbury
Brentford,Home,Chelsea,'0 - 0,17118,Jarred Gillett
Brentford,Home,Wolves,'1 - 1,17051,Robert Madley
Brentford,Home,Tottenham,'2 - 2,17137,David Coote
Brentford,Home,Liverpool,'3 - 1,17163,Stuart Attwell
Brentford,Home,Bournemouth,'2 - 0,17031,Jarred Gillett
Brentford,Home,Southampton,'3 - 0,17051,Darren Bond
Fulham,Home,Liverpool,'2 - 2,22207,Andy Madley
Fulham,Home,Brentford,'3 - 2,21798,Peter Bankes
Fulham,Home,Brighton,'2 - 1,22224,Thomas Bramall
Fulham,Home,Newcastle Utd,'1 - 4,22913,Darren England
Fulham,Home,Bournemouth,'2 - 2,22541,Graham Scott
Fulham,Home,Aston Villa,'3 - 0,23508,Michael Oliver
Fulham,Home,Everton,'0 - 0,23534,John Brooks
Fulham,Home,Manchester Utd,'1 - 2,24246,Paul Tierney
Fulham,Home,Southampton,'2 - 1,24344,Graham Scott
Fulham,Home,Chelsea,'2 - 1,24460,David Coote
Fulham,Home,Tottenham,'0 - 1,24190,Paul Tierney
Chelsea,Home,Tottenham,'2 - 2,39946,Anthony Taylor
Chelsea,Home,Leicester City,'2 - 1,39953,Paul Tierney
Chelsea,Home,West Ham,'2 - 1,39923,Andy Madley
Chelsea,Home,Wolves,'3 - 0,39940,Simon Hooper
Chelsea,Home,Manchester Utd,'1 - 1,39503,Stuart Attwell
Chelsea,Home,Arsenal,'0 - 1,40142,Michael Oliver
Chelsea,Home,Bournemouth,'2 - 0,40046,Simon Hooper
Chelsea,Home,Manchester City,'0 - 1,39998,Paul Tierney
Chelsea,Home,Crystal Palace,'1 - 0,40075,Peter Bankes
Chelsea,Home,Fulham,'0 - 0,40041,Stuart Attwell
Liverpool,Home,Crystal Palace,'1 - 1,52970,Paul Tierney
Liverpool,Home,Bournemouth,'9 - 0,53328,Stuart Attwell
Liverpool,Home,Newcastle Utd,'2 - 1,53316,Andre Marriner
Liverpool,Home,Brighton,'3 - 3,53320,Andy Madley
Liverpool,Home,Manchester City,'1 - 0,53286,Anthony Taylor
Liverpool,Home,West Ham,'1 - 0,52982,Stuart Attwell
Liverpool,Home,Leeds United,'1 - 2,53274,Michael Oliver
Liverpool,Home,Southampton,'3 - 1,53331,Simon Hooper
Liverpool,Home,Leicester City,'2 - 1,53343,Craig Pawson
Liverpool,Home,Chelsea,'0 - 0,53126,Michael Oliver
Aston Villa,Home,Everton,'2 - 1,41883,Michael Oliver
Aston Villa,Home,West Ham,'0 - 1,41796,David Coote
Aston Villa,Home,Manchester City,'1 - 1,41830,Simon Hooper
Aston Villa,Home,Southampton,'1 - 0,40758,Tony Harrington
Aston Villa,Home,Chelsea,'0 - 2,41754,Robert Jones
Aston Villa,Home,Brentford,'4 - 0,41693,Darren England
Aston Villa,Home,Manchester Utd,'3 - 1,42058,Anthony Taylor
Aston Villa,Home,Liverpool,'1 - 3,42085,Paul Tierney
Aston Villa,Home,Wolves,'1 - 1,39978,Jarred Gillett
Aston Villa,Home,Leeds United,'2 - 1,42008,Michael Oliver
Aston Villa,Home,Leicester City,'2 - 4,42055,Darren England
Crystal Palace,Home,Arsenal,'0 - 2,25286,Anthony Taylor
Crystal Palace,Home,Aston Villa,'3 - 1,22012,Andy Madley
Crystal Palace,Home,Brentford,'1 - 1,25043,Simon Hooper
Crystal Palace,Home,Chelsea,'1 - 2,25198,Chris Kavanagh
Crystal Palace,Home,Leeds United,'2 - 1,25042,Paul Tierney
Crystal Palace,Home,Wolves,'2 - 1,25125,David Coote
Crystal Palace,Home,Southampton,'1 - 0,25130,Michael Salisbury
Crystal Palace,Home,Fulham,'0 - 3,25176,Andy Madley
Crystal Palace,Home,Tottenham,'0 - 4,25132,Michael Oliver
Crystal Palace,Home,Manchester Utd,'1 - 1,23343,Robert Jones
Crystal Palace,Home,Newcastle Utd,'0 - 0,25350,Craig Pawson
Nott'ham Forest,Home,West Ham,'1 - 0,29281,Robert Jones
Nott'ham Forest,Home,Tottenham,'0 - 2,29296,Craig Pawson
Nott'ham Forest,Home,Bournemouth,'2 - 3,28720,Michael Oliver
Nott'ham Forest,Home,Fulham,'2 - 3,28654,Jarred Gillett
Nott'ham Forest,Home,Aston Villa,'1 - 1,29208,Anthony Taylor
Nott'ham Forest,Home,Liverpool,'1 - 0,29245,Paul Tierney
Nott'ham Forest,Home,Brentford,'2 - 2,28869,Andre Marriner
Nott'ham Forest,Home,Crystal Palace,'1 - 0,29045,John Brooks
Nott'ham Forest,Home,Chelsea,'1 - 1,29229,Peter Bankes
Nott'ham Forest,Home,Leicester City,'2 - 0,29301,Paul Tierney
Nott'ham Forest,Home,Leeds United,'1 - 0,29363,Robert Jones
Leicester City,Home,Brentford,'2 - 2,31794,Jarred Gillett
Leicester City,Home,Southampton,'1 - 2,30850,Michael Salisbury
Leicester City,Home,Manchester Utd,'0 - 1,32226,Craig Pawson
Leicester City,Home,Nott'ham Forest,'4 - 0,32202,Robert Jones
Leicester City,Home,Crystal Palace,'0 - 0,31298,Andy Madley
Leicester City,Home,Leeds United,'2 - 0,30814,Peter Bankes
Leicester City,Home,Manchester City,'0 - 1,32223,Robert Jones
Leicester City,Home,Newcastle Utd,'0 - 3,32185,Jarred Gillett
Leicester City,Home,Fulham,'0 - 1,30813,Darren Bond
Leicester City,Home,Brighton,'2 - 2,32056,Thomas Bramall
Wolves,Home,Fulham,'0 - 0,31178,John Brooks
Wolves,Home,Newcastle Utd,'1 - 1,31311,Peter Bankes
Wolves,Home,Southampton,'1 - 0,30546,John Brooks
Wolves,Home,Manchester City,'0 - 3,31578,Anthony Taylor
Wolves,Home,Nott'ham Forest,'1 - 0,31554,Thomas Bramall
Wolves,Home,Leicester City,'0 - 4,31425,Michael Oliver
Wolves,Home,Brighton,'2 - 3,30732,Graham Scott
Wolves,Home,Arsenal,'0 - 2,34624,Stuart Attwell
Wolves,Home,Manchester Utd,'0 - 1,31658,Robert Jones
Wolves,Home,West Ham,'1 - 0,31511,Simon Hooper
Wolves,Home,Liverpool,'3 - 0,31664,Paul Tierney
West Ham,Home,Manchester City,'0 - 2,62443,Michael Oliver
West Ham,Home,Brighton,'0 - 2,62449,Anthony Taylor
West Ham,Home,Tottenham,'1 - 1,62450,Peter Bankes
West Ham,Home,Wolves,'2 - 0,62444,Paul Tierney
West Ham,Home,Fulham,'3 - 1,62407,Chris Kavanagh
West Ham,Home,Bournemouth,'2 - 0,62447,David Coote
West Ham,Home,Crystal Palace,'1 - 2,62451,Paul Tierney
West Ham,Home,Leicester City,'0 - 2,62459,Jarred Gillett
West Ham,Home,Brentford,'0 - 2,62467,Darren England
West Ham,Home,Everton,'2 - 0,62470,Stuart Attwell
Leeds United,Home,Wolves,'2 - 1,36347,Robert Jones
Leeds United,Home,Chelsea,'3 - 0,36372,Stuart Attwell
Leeds United,Home,Everton,'1 - 1,36338,Darren England
Leeds United,Home,Aston Villa,'0 - 0,36582,Stuart Attwell
Leeds United,Home,Arsenal,'0 - 1,36700,Chris Kavanagh
Leeds United,Home,Fulham,'2 - 3,36447,Anthony Taylor
Leeds United,Home,Bournemouth,'4 - 3,36304,Tony Harrington
Leeds United,Home,Manchester City,'1 - 3,36889,Stuart Attwell
Leeds United,Home,West Ham,'2 - 2,36173,David Coote
Leeds United,Home,Brentford,'0 - 0,36260,Peter Bankes
Everton,Home,Chelsea,'0 - 1,39254,Craig Pawson
Everton,Home,Nott'ham Forest,'1 - 1,39271,Andre Marriner
Everton,Home,Liverpool,'0 - 0,39240,Anthony Taylor
Everton,Home,West Ham,'1 - 0,39298,Michael Oliver
Everton,Home,Manchester Utd,'1 - 2,39258,David Coote
Everton,Home,Crystal Palace,'3 - 0,38939,Simon Hooper
Everton,Home,Leicester City,'0 - 2,39206,David Coote
Everton,Home,Wolves,'1 - 2,39252,Craig Pawson
Everton,Home,Brighton,'1 - 4,39103,Andre Marriner
Everton,Home,Southampton,'1 - 2,39305,John Brooks
Everton,Home,Arsenal,'1 - 0,39314,David Coote
Bournemouth,Home,Aston Villa,'2 - 0,11013,Peter Bankes
Bournemouth,Home,Arsenal,'0 - 3,10423,Craig Pawson
Bournemouth,Home,Wolves,'0 - 0,10113,Anthony Taylor
Bournemouth,Home,Brentford,'0 - 0,10126,Thomas Bramall
Bournemouth,Home,Leicester City,'2 - 1,10272,Michael Salisbury
Bournemouth,Home,Southampton,'0 - 1,10405,John Brooks
Bournemouth,Home,Tottenham,'2 - 3,10430,Anthony Taylor
Bournemouth,Home,Everton,'3 - 0,10382,Craig Pawson
Bournemouth,Home,Crystal Palace,'0 - 2,9972,Andre Marriner
Bournemouth,Home,Nott'ham Forest,'1 - 1,10248,Andy Madley
Southampton,Home,Leeds United,'2 - 2,30815,Tony Harrington
Southampton,Home,Manchester Utd,'0 - 1,31196,Andy Madley
Southampton,Home,Chelsea,'2 - 1,31542,Michael Oliver
Southampton,Home,Everton,'1 - 2,30510,Andre Marriner
Southampton,Home,West Ham,'1 - 1,29159,Peter Bankes
Southampton,Home,Arsenal,'1 - 1,31145,Robert Jones
Southampton,Home,Newcastle Utd,'1 - 4,30402,Stuart Attwell
Southampton,Home,Brighton,'1 - 3,31010,Robert Jones
Southampton,Home,Nott'ham Forest,'0 - 1,30150,Thomas Bramall
Southampton,Home,Aston Villa,'0 - 1,30158,Michael Salisbury
Napoli,Home,Monza,'4 - 0,36559,Francesco Fourneau
Napoli,Home,Lecce,'1 - 1,37573,Matteo Marcenaro
Napoli,Home,Spezia,'1 - 0,32839,Alberto Santoro
Napoli,Home,Torino,'3 - 1,35953,Luca Massimi
Napoli,Home,Bologna,'3 - 2,50000,Francesco Cosso
Napoli,Home,Sassuolo,'4 - 0,45000,Antonio Rapuano
Napoli,Home,Empoli,'2 - 0,36000,Luca Pairetto
Napoli,Home,Udinese,'3 - 2,51000,Giovanni Ayroldi
Napoli,Home,Juventus,'5 - 1,60000,Daniele Doveri
Inter,Home,Spezia,'3 - 0,71212,Davide Ghersini
Inter,Home,Cremonese,'3 - 1,70750,Francesco Fourneau
Inter,Home,Torino,'1 - 0,69134,Giovanni Ayroldi
Inter,Home,Roma,'1 - 2,75389,Davide Massa
Inter,Home,Salernitana,'2 - 0,75452,Juan Sacchi
Inter,Home,Sampdoria,'3 - 0,73311,Luca Massimi
Inter,Home,Bologna,'6 - 1,69312,Andrea Colombo
Inter,Home,Napoli,'1 - 0,75470,Simone Sozza
Inter,Home,Hellas Verona,'1 - 0,70734,Michael Fabbri
Roma,Home,Cremonese,'1 - 0,60859,Luca Massimi
Roma,Home,Monza,'3 - 0,60669,Marco Piccinini
Roma,Home,Atalanta,'0 - 1,61335,Daniele Chiffi
Roma,Home,Lecce,'2 - 1,64018,Alessandro Prontera
Roma,Home,Napoli,'0 - 1,61633,Massimiliano Irrati
Roma,Home,Lazio,'0 - 1,62847,Daniele Orsato
Roma,Home,Torino,'1 - 1,61168,Antonio Rapuano
Roma,Home,Bologna,'1 - 0,62092,Alberto Santoro
Roma,Home,Fiorentina,'2 - 0,61327,Antonio Giua
Lazio,Home,Bologna,'2 - 1,45000,Luca Massimi
Lazio,Home,Inter,'3 - 1,52500,Michael Fabbri
Lazio,Home,Napoli,'1 - 2,39000,Simone Sozza
Lazio,Home,Hellas Verona,'2 - 0,38000,Massimiliano Irrati
Lazio,Home,Spezia,'4 - 0,41000,Juan Sacchi
Lazio,Home,Udinese,'0 - 0,45000,Andrea Colombo
