271,Armando Broja,ALB,FW,21
272,Wesley Fofana,FRA,DF,22
273,N'Golo Kanté,FRA,MF,31
274,Carney Chukwuemeka,ENG,"MF,FW",19
275,Enzo Fernández,ARG,MF,22
276,Mykhailo Mudryk,UKR,FW,22
277,João Félix,POR,FW,23
278,Noni Madueke,ENG,FW,20
279,Omari Hutchinson,ENG,FW,19
280,Datro Fofana,CIV,"FW,MF",20
281,Ethan Ampadu,WAL,"DF,MF",22
282,Marcus Bettinelli,ENG,GK,30
283,Billy Gilmour,SCO,MF,21
284,Callum Hudson-Odoi,ENG,"FW,MF",22
285,Bashir Humphreys,ENG,DF,19
286,Harvey Vale,ENG,MF,19
287,Alisson,BRA,GK,30
288,Mohamed Salah,EGY,FW,30
289,Virgil van Dijk,NED,DF,31
290,Trent Alexander-Arnold,ENG,DF,24
291,Andrew Robertson,SCO,DF,28
292,Fabinho,BRA,MF,29
293,Thiago Alcántara,ESP,MF,31
294,Harvey Elliott,ENG,"MF,FW",19
295,Joe Gomez,ENG,DF,25
296,Darwin Núñez,URU,FW,23
297,Roberto Firmino,BRA,"FW,MF",31
298,Jordan Henderson,ENG,MF,32
299,Joël Matip,CMR,DF,31
300,Luis Díaz,COL,FW,26
301,James Milner,ENG,"DF,MF",37
302,Kostas Tsimikas,GRE,DF,26
303,Ibrahima Konaté,FRA,DF,23
304,Fabio Carvalho,POR,"MF,FW",20
305,Alex Oxlade-Chamberlain,ENG,"FW,MF",29
306,Cody Gakpo,NED,FW,23
307,Naby Keïta,GUI,MF,27
308,Diogo Jota,POR,"FW,MF",26
309,Stefan Bajcetic,ESP,MF,18
310,Curtis Jones,ENG,"MF,FW",22
311,Nathaniel Phillips,ENG,DF,25
312,Ben Doak,SCO,FW,17
313,Bobby Clark,ENG,MF,18
314,Adrián,ESP,GK,36
315,Luke Chambers,ENG,DF,18
316,Harvey Davies,ENG,GK,19
317,Sepp van den Berg,NED,"DF,MF",21
318,Caoimhín Kelleher,IRL,GK,24
319,Arthur Melo,BRA,MF,26
320,Calvin Ramsay,SCO,DF,19
321,Ezri Konsa,ENG,DF,25
322,Tyrone Mings,ENG,DF,29
323,Emiliano Martínez,ARG,GK,30
324,Ollie Watkins,ENG,FW,27
