Player,club_name,Nation,Pos,Age,MP,Gls,Ast
Antoine Nuss,Strasbourg,FRA,DF,19,0,0,0
Robin Risser,Strasbourg,FRA,GK,18,0,0,0
Jordan Robinand,Strasbourg,FRA,MF,19,0,0,0
Tom Saettel,Strasbourg,FRA,FW,17,0,0,0
Yuito Suzuki,Strasbourg,JPN,FW,21,0,0,0
Vincent Marchetti,Ajaccio,FRA,MF,25,21,0,1
Benjamin Leroy,Ajaccio,FRA,GK,33,19,0,0
Mounaim El Idrissy,Ajaccio,FRA,FW,23,20,4,0
Ismael Diallo,Ajaccio,CIV,DF,26,19,0,0
Oumar Gonzalez,Ajaccio,CMR,DF,24,17,0,0
Mohamed Youssouf,Ajaccio,COM,DF,34,18,0,0
Cyrille Bayala,Ajaccio,BFA,MF,26,21,1,1
Riad Nouri,Ajaccio,FRA,MF,37,20,1,1
Cédric Avinel,Ajaccio,GLP,DF,36,13,1,0
Mathieu Coutadeur,Ajaccio,FRA,MF,36,14,0,0
Youcef Belaïli,Ajaccio,ALG,"MF,FW",30,12,5,3
Thomas Mangani,Ajaccio,FRA,MF,35,18,1,1
Mickaël Alphonse,Ajaccio,GLP,DF,33,16,0,0
Romain Hamouma,Ajaccio,FRA,FW,35,11,2,1
Bevic Moussiti-Oko,Ajaccio,CGO,FW,28,17,1,0
Clément Vidal,Ajaccio,FRA,DF,22,12,0,0
Youssouf Koné,Ajaccio,MLI,DF,27,7,0,0
Fernand Mayembo,Ajaccio,CGO,DF,27,8,0,0
Kevin Spadanuda,Ajaccio,SUI,"MF,FW",26,12,0,0
Yoann Touzghar,Ajaccio,TUN,FW,36,8,0,0
Yanis Cimignani,Ajaccio,FRA,"MF,DF",21,8,0,0
François-Joseph Sollacaro,Ajaccio,FRA,GK,28,3,0,0
Mickaël Barreto,Ajaccio,FRA,MF,32,6,0,1
Florian Chabrolle,Ajaccio,FRA,MF,24,5,0,0
Kouamé Botué,Ajaccio,BFA,"FW,MF",20,7,0,0
Qazim Laçi,Ajaccio,ALB,MF,27,9,0,0
Ghjuvanni Quilichini,Ajaccio,FRA,GK,20,1,0,0
Paolo Lebas,Ajaccio,POR,MF,19,1,0,0
Moussa Soumano,Ajaccio,FRA,"MF,FW",17,2,1,0
Moussa Djitte,Ajaccio,SEN,FW,23,1,0,0
Gaëtan Courtet,Ajaccio,FRA,FW,33,0,0,0
Anthony Khelifa,Ajaccio,FRA,DF,17,0,0,0
Ruan Levine,Ajaccio,BRA,FW,24,0,0,0
Birama Touré,Auxerre,MLI,MF,30,22,0,0
Jubal,Auxerre,BRA,DF,29,21,1,1
Benoît Costil,Auxerre,FRA,GK,35,19,0,0
Hamza Sakhi,Auxerre,MAR,MF,26,22,1,2
Julian Jeanvier,Auxerre,GUI,DF,30,15,1,0
Mathias Autret,Auxerre,FRA,"MF,FW",31,19,2,2
Lassine Sinayoko,Auxerre,MLI,"MF,FW",23,21,0,2
Gideon Mensah,Auxerre,GHA,DF,24,13,0,0
M'Baye Niang,Auxerre,SEN,FW,28,17,3,0
Nuno da Costa,Auxerre,CPV,"FW,MF",31,19,3,1
Rayan Raveloson,Auxerre,MAD,"MF,DF",26,18,0,0
Gauthier Hein,Auxerre,FRA,"MF,FW",26,19,1,0
Paul Joly,Auxerre,FRA,DF,22,10,0,0
Gaëtan Perrin,Auxerre,FRA,"MF,FW",26,21,2,1
Quentin Bernard,Auxerre,FRA,DF,33,7,0,1
Youssouf M'Changama,Auxerre,COM,MF,32,18,0,0
Alexandre Coeff,Auxerre,FRA,DF,30,7,0,1
Akim Zedadka,Auxerre,ALG,DF,27,6,0,0
Souleymane Touré,Auxerre,FRA,DF,19,5,0,0
Ionuț Radu,Auxerre,ROU,GK,25,3,0,0
Gaëtan Charbonnier,Auxerre,FRA,"FW,MF",34,6,1,0
Matthis Abline,Auxerre,FRA,"FW,MF",19,5,1,0
Brayann Pereira,Auxerre,FRA,DF,19,2,0,0
Dénys Bain,Auxerre,FRA,DF,29,2,0,0
Han-Noah Massengo,Auxerre,FRA,"MF,DF",21,2,0,0
Kenji-Van Boto,Auxerre,MAD,DF,26,1,0,0
Kays Ruiz,Auxerre,MAR,MF,20,1,0,0
Rémy Dugimont,Auxerre,FRA,"FW,MF",36,10,0,1
Ousmane Camara,Auxerre,GUI,"FW,MF",21,3,0,0
Siriki Dembélé,Auxerre,CIV,FW,26,1,0,0
Ousoumane Camara,Auxerre,FRA,MF,24,0,0,0
Kévin Danois,Auxerre,FRA,FW,18,0,0,0
Théo De Percin,Auxerre,MTQ,GK,22,0,0,0
Donovan Léon,Auxerre,GUF,GK,30,0,0,0
Cédric Hountondji,Angers,BEN,DF,29,22,0,0
Adrien Hunou,Angers,FRA,"FW,MF",29,21,3,1
Batista Mendy,Angers,FRA,"MF,DF",23,20,0,0
Souleyman Doumbia,Angers,CIV,"DF,FW",26,18,0,0
Nabil Bentaleb,Angers,ALG,MF,28,18,2,3
Miha Blažič,Angers,SVN,DF,29,17,2,0
Paul Bernardoni,Angers,FRA,GK,25,14,0,0
Yan Valery,Angers,TUN,DF,23,14,0,0
Azzedine Ounahi,Angers,MAR,"MF,FW",22,15,0,0
Amine Salama,Angers,FRA,"FW,MF",22,20,3,1
Abdallah Sima,Angers,SEN,FW,21,18,2,0
Sofiane Boufal,Angers,MAR,"FW,MF",29,13,4,3
Pierrick Capelle,Angers,FRA,"MF,DF",35,16,0,2
Himad Abdelli,Angers,FRA,"MF,FW",23,14,0,0
Yahia Fofana,Angers,FRA,GK,22,8,0,0
Sada Thioub,Angers,SEN,"FW,MF",27,18,0,1
Lois Diony,Angers,FRA,FW,30,8,1,0
Farid El Melali,Angers,ALG,"FW,DF",25,9,0,0
Abdoulaye Bamba,Angers,CIV,DF,32,9,0,0
Ibrahim Amadou,Angers,FRA,"DF,MF",29,6,0,0
Halid Šabanović,Angers,BIH,"DF,FW",23,5,0,0
Ousmane Camara,Angers,FRA,DF,19,3,0,0
Waniss Taibi,Angers,FRA,MF,20,9,0,1
Ilyes Cheti,Angers,ALG,DF,28,4,0,0
Ibrahima Niane,Angers,SEN,FW,23,1,0,0
Lilian Raolisoa,Angers,FRA,"MF,DF",22,2,0,0
Zinédine Ould Khaled,Angers,FRA,"MF,FW",23,2,0,0
Marin Jakoliš,Angers,CRO,FW,26,1,0,0
Faouzi Ghoulam,Angers,ALG,DF,32,1,0,0
Jason Mbock,Angers,FRA,"MF,FW",23,2,0,0
Antonin Bobichon,Angers,FRA,MF,27,3,0,0
Salim Akkal,Angers,FRA,MF,22,0,0,0
Yassin Belkhdim,Angers,FRA,MF,20,0,0,0
Théo Borne,Angers,FRA,GK,20,0,0,0
Jean Mattéo Bahoya,Angers,FRA,MF,17,0,0,0
Dayot Upamecano,Bayern Munich,FRA,DF,24,18,0,1
Joshua Kimmich,Bayern Munich,GER,MF,28,19,3,4
Alphonso Davies,Bayern Munich,CAN,DF,22,16,0,2
Jamal Musiala,Bayern Munich,GER,"MF,FW",19,18,10,6
Benjamin Pavard,Bayern Munich,FRA,DF,26,16,1,1
Matthijs de Ligt,Bayern Munich,NED,DF,23,16,1,0
Leroy Sané,Bayern Munich,GER,"FW,MF",27,17,6,3
Manuel Neuer,Bayern Munich,GER,GK,36,12,0,0
Serge Gnabry,Bayern Munich,GER,FW,27,19,8,4
Leon Goretzka,Bayern Munich,GER,MF,28,14,3,1
Sadio Mané,Bayern Munich,SEN,FW,30,14,6,3
Eric Maxim Choupo-Moting,Bayern Munich,CMR,FW,33,13,7,2
Thomas Müller,Bayern Munich,GER,"FW,MF",33,12,3,4
Kingsley Coman,Bayern Munich,FRA,"FW,MF",26,13,3,3
Marcel Sabitzer,Bayern Munich,AUT,MF,28,15,1,1
Noussair Mazraoui,Bayern Munich,MAR,DF,25,11,0,3
Lucas Hernández,Bayern Munich,FRA,DF,26,7,0,0
Yann Sommer,Bayern Munich,SUI,GK,34,4,0,0
Sven Ulreich,Bayern Munich,GER,GK,34,3,0,0
Josip Stanišić,Bayern Munich,CRO,DF,22,8,0,0
Mathys Tel,Bayern Munich,FRA,FW,17,11,3,0
João Cancelo,Bayern Munich,POR,DF,28,1,0,1
Ryan Gravenberch,Bayern Munich,NED,MF,20,12,0,0
Paul Wanner,Bayern Munich,GER,MF,17,2,0,0
Gabriel Vidovic,Bayern Munich,CRO,FW,19,1,0,1
Daley Blind,Bayern Munich,NED,DF,32,1,0,0
Arijon Ibrahimović,Bayern Munich,GER,FW,17,0,0,0
Gabriel Marušić,Bayern Munich,CRO,DF,19,0,0,0
Tanguy Nianzou,Bayern Munich,FRA,DF,20,0,0,0
Bouna Sarr,Bayern Munich,SEN,"DF,MF",31,0,0,0
Johannes Schenk,Bayern Munich,GER,GK,20,0,0,0
Joshua Zirkzee,Bayern Munich,NED,FW,21,0,0,0
Sheraldo Becker,Union Berlin,SUR,FW,27,19,7,4
Robin Knoche,Union Berlin,GER,DF,30,18,1,0
Rani Khedira,Union Berlin,GER,MF,29,18,0,0
Janik Haberer,Union Berlin,GER,MF,28,17,4,1
Diogo Leite,Union Berlin,POR,DF,24,16,0,1
Frederik Rønnow,Union Berlin,DEN,GK,30,15,0,0
Christopher Trimmel,Union Berlin,AUT,DF,35,16,0,5
Jordan Pefok,Union Berlin,USA,FW,26,17,4,4
Julian Ryerson,Union Berlin,NOR,DF,25,13,0,0
Danilho Doekhi,Union Berlin,NED,DF,24,10,4,1
Paul Jaeckel,Union Berlin,GER,DF,24,12,1,0
Niko Gießelmann,Union Berlin,GER,DF,31,15,0,2
András Schäfer,Union Berlin,HUN,MF,23,13,0,0
Kevin Behrens,Union Berlin,GER,FW,32,19,4,1
Genki Haraguchi,Union Berlin,JPN,MF,31,11,0,0
Morten Thorsby,Union Berlin,NOR,MF,26,12,1,1
Lennart Grill,Union Berlin,GER,GK,24,4,0,0
Timo Baumgartl,Union Berlin,GER,DF,26,4,0,0
Paul Seguin,Union Berlin,GER,MF,27,12,1,3
Jérôme Roussillon,Union Berlin,FRA,DF,30,3,0,0
Josip Juranović,Union Berlin,CRO,DF,27,1,0,1
Tymoteusz Puchacz,Union Berlin,POL,DF,24,1,0,0
Sven Michel,Union Berlin,GER,FW,32,12,3,0
Miloš Pantović,Union Berlin,SRB,MF,26,8,1,0
Jamie Leweling,Union Berlin,GER,FW,21,9,1,1
Tim Skarke,Union Berlin,GER,"DF,MF",26,3,0,0
Aïssa Laïdouni,Union Berlin,TUN,MF,26,1,0,0
Levin Öztunalı,Union Berlin,GER,MF,26,2,0,1
Jakob Busk,Union Berlin,DEN,GK,29,0,0,0
Aljoscha Kemlein,Union Berlin,GER,MF,18,0,0,0
Andreas Voglsammer,Union Berlin,GER,"FW,MF",31,0,0,0
Nico Schlotterbeck,Dortmund,GER,DF,23,19,3,3
Jude Bellingham,Dortmund,ENG,MF,19,18,4,4
Julian Brandt,Dortmund,GER,"MF,FW",26,19,5,4
Gregor Kobel,Dortmund,SUI,GK,25,15,0,0
Raphaël Guerreiro,Dortmund,POR,DF,29,15,1,5
Mats Hummels,Dortmund,GER,DF,34,16,0,0
Salih Özcan,Dortmund,TUR,MF,25,15,0,1
Niklas Süle,Dortmund,GER,DF,27,16,1,2
Donyell Malen,Dortmund,NED,FW,24,13,0,1
Karim Adeyemi,Dortmund,GER,"FW,MF",21,15,2,1
Youssoufa Moukoko,Dortmund,GER,FW,18,17,6,3
Marco Reus,Dortmund,GER,MF,33,11,2,2
Anthony Modeste,Dortmund,FRA,FW,34,14,2,1
Marius Wolf,Dortmund,GER,"DF,FW",27,13,1,1
Thomas Meunier,Dortmund,BEL,DF,31,8,0,0
Emre Can,Dortmund,GER,MF,29,13,0,0
Alexander Meyer,Dortmund,GER,GK,31,4,0,0
Gio Reyna,Dortmund,USA,"FW,MF",20,13,5,0
Julian Ryerson,Dortmund,NOR,DF,25,3,1,0
Mahmoud Dahoud,Dortmund,GER,MF,27,4,0,0
Thorgan Hazard,Dortmund,BEL,"FW,DF",29,14,0,0
Jamie Bynoe-Gittens,Dortmund,ENG,"FW,MF",18,8,2,0
Sébastien Haller,Dortmund,CIV,FW,28,4,1,1
Felix Passlack,Dortmund,GER,DF,24,2,0,0
Justin Njinmah,Dortmund,GER,FW,22,1,0,0
Tom Rothe,Dortmund,GER,DF,18,1,0,0
Antonios Papadopoulos,Dortmund,GER,DF,23,1,0,0
Marco Pašalić,Dortmund,CRO,MF,22,1,0,0
Soumaïla Coulibaly,Dortmund,FRA,DF,19,0,0,0
Abdoulaye Kamara,Dortmund,GUI,MF,18,0,0,0
Marcel Lotka,Dortmund,POL,GK,21,0,0,0
Willi Orban,RB Leipzig,HUN,DF,30,19,3,0
Dominik Szoboszlai,RB Leipzig,HUN,"MF,FW",22,17,3,8
Christopher Nkunku,RB Leipzig,FRA,"FW,MF",25,15,12,0
David Raum,RB Leipzig,GER,"DF,FW",24,18,0,1
Benjamin Henrichs,RB Leipzig,GER,"DF,MF",25,17,1,1
Xaver Schlager,RB Leipzig,AUT,MF,25,15,1,0
André Silva,RB Leipzig,POR,FW,27,19,4,2
Joško Gvardiol,RB Leipzig,CRO,DF,21,17,0,0
Janis Blaswich,RB Leipzig,GER,GK,31,12,0,0
Timo Werner,RB Leipzig,GER,"FW,MF",26,13,5,1
Mohamed Simakan,RB Leipzig,FRA,DF,22,11,1,1
Dani Olmo,RB Leipzig,ESP,"MF,FW",24,13,2,4
Marcel Halstenberg,RB Leipzig,GER,DF,31,16,1,1
Kevin Kampl,RB Leipzig,SVN,MF,32,16,0,1
Emil Forsberg,RB Leipzig,SWE,"MF,FW",31,16,2,2
Konrad Laimer,RB Leipzig,AUT,MF,25,8,0,0
Péter Gulácsi,RB Leipzig,HUN,GK,32,6,0,0
Amadou Haidara,RB Leipzig,MLI,MF,25,17,1,1
Abdou Diallo,RB Leipzig,SEN,"DF,MF",26,5,1,0
Lukas Klostermann,RB Leipzig,GER,DF,26,4,0,0
Hugo Novoa,RB Leipzig,ESP,"DF,FW",20,7,1,0
Yussuf Poulsen,RB Leipzig,DEN,FW,28,10,1,0
Ørjan Nyland,RB Leipzig,NOR,GK,32,1,0,0
Alexander Sørloth,RB Leipzig,NOR,FW,27,1,0,0
Sanoussy Ba,RB Leipzig,GER,DF,19,1,0,0
Jonas Nickisch,RB Leipzig,GER,GK,18,0,0,0
Obite N'Dicka,Eint Frankfurt,FRA,DF,23,19,0,0
Mario Götze,Eint Frankfurt,GER,MF,30,19,2,1
Kevin Trapp,Eint Frankfurt,GER,GK,32,18,0,0
Tuta,Eint Frankfurt,BRA,DF,23,18,1,0
Djibril Sow,Eint Frankfurt,SUI,MF,26,19,2,0
Randal Kolo Muani,Eint Frankfurt,FRA,FW,24,18,9,10
Jesper Lindstrøm,Eint Frankfurt,DEN,"MF,FW",22,18,7,2
Daichi Kamada,Eint Frankfurt,JPN,"MF,FW",26,17,7,4
Kristijan Jakić,Eint Frankfurt,CRO,"DF,MF",25,17,1,0
Ansgar Knauff,Eint Frankfurt,GER,DF,21,14,1,0
Sebastian Rode,Eint Frankfurt,GER,MF,32,16,3,1
Junior Dina Ebimbe,Eint Frankfurt,FRA,"DF,MF",22,11,2,1
Luca Pellegrini,Eint Frankfurt,ITA,DF,23,9,0,0
Christopher Lenz,Eint Frankfurt,GER,DF,28,12,0,2
Rafael Borré,Eint Frankfurt,COL,"FW,MF",27,18,2,2
Makoto Hasebe,Eint Frankfurt,JPN,DF,39,6,0,0
Hrvoje Smolčić,Eint Frankfurt,CRO,DF,22,7,0,0
Lucas Alario,Eint Frankfurt,ARG,FW,30,12,1,0
Aurélio Buta,Eint Frankfurt,POR,DF,25,4,2,0
Almamy Touré,Eint Frankfurt,MLI,DF,26,3,0,0
Diant Ramaj,Eint Frankfurt,GER,GK,21,1,0,0
Filip Kostić,Eint Frankfurt,SRB,"DF,MF",30,1,0,0
Philipp Max,Eint Frankfurt,GER,DF,29,1,0,0
Faride Alidou,Eint Frankfurt,GER,"DF,MF",21,9,0,0
Timothy Chandler,Eint Frankfurt,USA,DF,32,4,0,0
Marcel Wenig,Eint Frankfurt,GER,MF,18,1,0,0
Jens Grahl,Eint Frankfurt,GER,GK,34,0,0,0
Jérôme Onguéné,Eint Frankfurt,CMR,DF,25,0,0,0
Mark Flekken,Freiburg,NED,GK,29,19,0,0
Matthias Ginter,Freiburg,GER,DF,29,19,3,1
Christian Günter,Freiburg,GER,"DF,MF",29,19,0,2
Philipp Lienhart,Freiburg,AUT,DF,26,19,1,0
Nicolas Höfler,Freiburg,GER,MF,32,18,0,1
Michael Gregoritsch,Freiburg,AUT,FW,28,19,7,3
Kiliann Sildillia,Freiburg,FRA,"DF,MF",20,18,0,2
Ritsu Doan,Freiburg,JPN,"FW,MF",24,19,2,3
Vincenzo Grifo,Freiburg,ITA,"FW,MF",29,18,9,3
Maximilian Eggestein,Freiburg,GER,MF,26,18,0,2
Lukas Kübler,Freiburg,GER,DF,30,8,2,0
Daniel Kyereh,Freiburg,GHA,"MF,FW",26,12,2,0
Yannik Keitel,Freiburg,GER,MF,22,14,0,2
Roland Sallai,Freiburg,HUN,"MF,FW",25,9,0,0
Jeong Woo-yeong,Freiburg,KOR,"MF,FW",23,16,1,1
Lucas Höler,Freiburg,GER,"FW,MF",28,11,2,0
Manuel Gulde,Freiburg,GER,DF,31,6,0,0
Kevin Schade,Freiburg,GER,"FW,MF",21,8,1,0
Nils Petersen,Freiburg,GER,FW,34,15,0,0
Noah Weißhaupt,Freiburg,GER,"MF,FW",21,9,0,0
Robert Wagner,Freiburg,GER,MF,19,2,0,0
Hugo Siquet,Freiburg,BEL,DF,20,2,0,0
Keven Schlotterbeck,Freiburg,GER,DF,25,2,0,0
Noah Atubolu,Freiburg,GER,GK,20,0,0,0
Merlin Röhl,Freiburg,GER,MF,20,0,0,0
Jonathan Schmid,Freiburg,FRA,"DF,MF",32,0,0,0
Benjamin Uphoff,Freiburg,GER,GK,29,0,0,0
Koen Casteels,Wolfsburg,BEL,GK,30,19,0,1
Mickey van de Ven,Wolfsburg,NED,DF,21,19,1,1
Maximilian Arnold,Wolfsburg,GER,MF,28,19,4,2
Ridle Baku,Wolfsburg,GER,DF,24,19,5,1
Paulo Otávio,Wolfsburg,BRA,DF,28,16,0,5
Sebastiaan Bornauw,Wolfsburg,BEL,DF,23,14,0,0
Jakub Kamiński,Wolfsburg,POL,"FW,MF",20,17,1,2
Maxence Lacroix,Wolfsburg,FRA,DF,22,14,1,0
Yannick Gerhardt,Wolfsburg,GER,MF,28,14,4,1
Patrick Wimmer,Wolfsburg,AUT,"FW,MF",21,12,2,5
Mattias Svanberg,Wolfsburg,SWE,MF,24,18,2,4
Lukas Nmecha,Wolfsburg,GER,FW,24,13,4,0
Felix Kalu Nmecha,Wolfsburg,GER,MF,22,15,2,3
Omar Marmoush,Wolfsburg,EGY,FW,24,19,3,0
Jonas Wind,Wolfsburg,DEN,FW,24,10,4,0
Josuha Guilavogui,Wolfsburg,FRA,"MF,DF",32,12,1,0
Luca Waldschmidt,Wolfsburg,GER,FW,26,10,1,0
Josip Brekalo,Wolfsburg,CRO,"MF,FW",24,6,0,1
Bartol Franjić,Wolfsburg,CRO,MF,23,5,0,1
Max Kruse,Wolfsburg,GER,"MF,FW",34,5,0,0
Kevin Paredes,Wolfsburg,USA,"MF,FW",19,11,1,1
Maximilian Philipp,Wolfsburg,GER,FW,28,3,0,0
Kilian Fischer,Wolfsburg,GER,"DF,FW",22,3,0,0
Jérôme Roussillon,Wolfsburg,FRA,"MF,DF",30,4,0,0
Aster Vranckx,Wolfsburg,BEL,MF,20,1,0,0
Lukáš Ambros,Wolfsburg,CZE,FW,18,0,0,0
Bartosz Bialek,Wolfsburg,POL,FW,21,0,0,0
Nicolas Cozza,Wolfsburg,FRA,DF,24,0,0,0
Dženan Pejčinović,Wolfsburg,GER,DF,17,0,0,0
Pavao Pervan,Wolfsburg,AUT,GK,35,0,0,0
Philipp Schulze,Wolfsburg,GER,GK,20,0,0,0
Jiří Pavlenka,Werder Bremen,CZE,GK,30,19,0,0
Marvin Ducksch,Werder Bremen,GER,FW,28,19,4,5
Niclas Füllkrug,Werder Bremen,GER,FW,29,18,13,3
Mitchell Weiser,Werder Bremen,GER,"DF,FW",28,18,1,7
Marco Friedl,Werder Bremen,AUT,DF,24,18,0,0
Anthony Jung,Werder Bremen,GER,"DF,FW",31,19,2,2
Amos Pieper,Werder Bremen,GER,DF,25,18,1,1
Christian Groß,Werder Bremen,GER,MF,34,16,1,0
Miloš Veljković,Werder Bremen,SRB,DF,27,16,1,0
Ilia Gruev,Werder Bremen,BUL,MF,22,17,0,0
Leonardo Bittencourt,Werder Bremen,GER,"MF,DF",29,13,2,0
Niklas Stark,Werder Bremen,GER,DF,27,14,0,0
Romano Schmid,Werder Bremen,AUT,MF,23,14,0,2
Jens Stage,Werder Bremen,DEN,MF,26,18,1,1
Niklas Schmidt,Werder Bremen,GER,MF,24,11,1,0
Lee Buchanan,Werder Bremen,ENG,"DF,FW",21,13,1,0
Oliver Burke,Werder Bremen,SCO,"FW,MF",25,15,2,0
Eren Dinkçi,Werder Bremen,GER,"FW,MF",21,7,0,0
Nicolai Rapp,Werder Bremen,GER,"MF,DF",26,7,0,0
Michael Zetterer,Werder Bremen,GER,GK,27,1,0,0
Felix Agu,Werder Bremen,GER,"DF,FW",23,3,0,0
Fabio Chiarodia,Werder Bremen,ITA,DF,17,1,0,0
Dikeni Salifou,Werder Bremen,TOG,MF,19,1,0,0
Tom Berger,Werder Bremen,GER,MF,21,0,0,0
Benjamin Goller,Werder Bremen,GER,"FW,MF",24,0,0,0
Jean-Manuel Mbom,Werder Bremen,GER,MF,22,0,0,0
Nick Woltemade,Werder Bremen,GER,FW,20,0,0,0
Marcus Thuram,M'Gladbach,FRA,FW,25,18,10,3
Ramy Bensebaini,M'Gladbach,ALG,DF,27,18,5,0
Kouadio Koné,M'Gladbach,FRA,MF,21,18,1,1
Christoph Kramer,M'Gladbach,GER,MF,31,18,0,0
Joe Scally,M'Gladbach,USA,DF,20,18,0,0
Nico Elvedi,M'Gladbach,SUI,DF,26,17,2,0
Jonas Hofmann,M'Gladbach,GER,FW,30,16,7,5
Julian Weigl,M'Gladbach,GER,MF,27,15,0,0
Alassane Pléa,M'Gladbach,FRA,FW,29,15,2,7
Marvin Friedrich,M'Gladbach,GER,DF,27,15,1,0
Yann Sommer,M'Gladbach,SUI,GK,34,10,0,0
Lars Stindl,M'Gladbach,GER,"FW,MF",34,14,4,6
Ko Itakura,M'Gladbach,JPN,DF,26,10,0,2
Florian Neuhaus,M'Gladbach,GER,MF,25,9,0,0
Jonas Omlin,M'Gladbach,SUI,GK,29,4,0,0
Nathan N'Goumou,M'Gladbach,FRA,FW,22,10,0,0
Tobias Sippel,M'Gladbach,GER,GK,34,3,0,0
Jan Jakob Olschowsky,M'Gladbach,GER,GK,21,2,0,0
Stefan Lainer,M'Gladbach,AUT,DF,30,7,0,0
Luca Netz,M'Gladbach,GER,"DF,FW",19,8,0,1
Tony Jantschke,M'Gladbach,GER,"DF,MF",32,5,0,0
Patrick Herrmann,M'Gladbach,GER,"FW,MF",31,15,1,0
Hannes Wolf,M'Gladbach,AUT,"FW,MF",23,8,1,1
Yvandro Borges Sanches,M'Gladbach,LUX,"FW,MF",18,3,0,0
Semir Telalovic,M'Gladbach,GER,MF,23,1,0,0
Rocco Reitz,M'Gladbach,GER,MF,20,1,0,0
Louis Beyer,M'Gladbach,GER,DF,22,0,0,0
Maximilian Brüll,M'Gladbach,GER,GK,20,0,0,0
Florian Dimmer,M'Gladbach,GER,GK,18,0,0,0
Oscar Fraulo,M'Gladbach,DEN,MF,19,0,0,0
Torben Müsel,M'Gladbach,GER,FW,23,0,0,0
Connor Noß,M'Gladbach,IRL,MF,22,0,0,0
Edmond Tapsoba,Leverkusen,BFA,DF,24,19,1,0
Moussa Diaby,Leverkusen,FRA,FW,23,19,6,3
Lukáš Hrádecký,Leverkusen,FIN,GK,33,18,0,0
Jeremie Frimpong,Leverkusen,NED,"DF,MF",22,19,5,2
Jonathan Tah,Leverkusen,GER,DF,26,19,1,0
Robert Andrich,Leverkusen,GER,MF,28,17,1,2
Piero Hincapié,Leverkusen,ECU,DF,21,17,1,0
Mitchel Bakker,Leverkusen,NED,"MF,DF",22,16,2,1
Patrik Schick,Leverkusen,CZE,FW,27,11,2,0
Exequiel Palacios,Leverkusen,ARG,MF,24,14,1,1
Adam Hložek,Leverkusen,CZE,"FW,MF",20,17,2,3
Kerem Demirbay,Leverkusen,GER,MF,29,16,3,3
Odilon Kossonou,Leverkusen,CIV,DF,22,14,0,1
Amine Adli,Leverkusen,FRA,FW,22,12,1,2
Callum Hudson-Odoi,Leverkusen,ENG,"FW,MF",22,12,0,1
Nadiem Amiri,Leverkusen,GER,"MF,FW",26,14,2,1
Charles Aránguiz,Leverkusen,CHI,MF,33,10,1,0
Sardar Azmoun,Leverkusen,IRN,"MF,FW",28,10,0,0
Florian Wirtz,Leverkusen,GER,"FW,MF",19,4,0,1
Daley Sinkgraven,Leverkusen,NED,"DF,FW",27,6,0,1
Timothy Fosu-Mensah,Leverkusen,NED,DF,25,7,0,0
Andrey Lunyov,Leverkusen,RUS,GK,31,1,0,0
Paulinho,Leverkusen,BRA,FW,22,4,1,0
Karim Bellarabi,Leverkusen,GER,FW,32,5,0,0
Joel Pohjanpalo,Leverkusen,FIN,"FW,MF",28,1,0,0
Ayman Azhil,Leverkusen,MAR,MF,21,1,0,0
Niklas Lomb,Leverkusen,GER,GK,29,0,0,0
Noah Mbamba,Leverkusen,BEL,DF,18,0,0,0
Patrick Pentz,Leverkusen,AUT,GK,26,0,0,0
Zidan Sertdemir,Leverkusen,DEN,MF,18,0,0,0
Marvin Schwäbe,Köln,GER,GK,27,19,0,0
Ellyes Skhiri,Köln,TUN,MF,27,18,3,1
Jonas Hector,Köln,GER,DF,32,17,0,1
Benno Schmitz,Köln,GER,DF,28,18,1,0
Florian Kainz,Köln,AUT,"MF,FW",30,18,5,5
Timo Hübers,Köln,GER,DF,26,15,0,0
Linton Maina,Köln,GER,"FW,MF",23,18,2,5
Luca Kilian,Köln,GER,DF,23,13,1,0
Steffen Tigges,Köln,GER,FW,24,16,5,1
Eric Martel,Köln,GER,MF,20,16,0,0
Dejan Ljubicic,Köln,AUT,MF,25,13,3,0
Ondrej Duda,Köln,SVK,MF,28,13,0,0
Julian Chabot,Köln,GER,DF,24,6,0,1
Jan Thielmann,Köln,GER,FW,20,12,1,1
Denis Huseinbasic,Köln,GER,"MF,FW",21,12,3,1
Nikola Soldo,Köln,CRO,DF,22,6,0,0
Florian Dietz,Köln,GER,FW,24,11,1,0
Mathias Olesen,Köln,LUX,MF,21,7,0,0
Kingsley Schindler,Köln,GER,"DF,MF",29,16,0,0
Sargis Adamyan,Köln,ARM,"FW,MF",29,16,1,1
Kristian Pedersen,Köln,DEN,DF,28,5,0,0
Davie Selke,Köln,GER,FW,28,4,0,0
Kingsley Ehizibue,Köln,NED,DF,27,1,0,0
Tim Lemperle,Köln,GER,FW,21,6,0,0
Mark Uth,Köln,GER,"MF,FW",31,3,0,0
Justin Diehl,Köln,GER,FW,18,1,0,0
Elias Bakatukanda,Köln,GER,MF,18,0,0,0
Timo Horn,Köln,GER,GK,29,0,0,0
Maximilian Schmid,Köln,GER,FW,19,0,0,0
Joshua Schwirten,Köln,GER,MF,21,0,0,0
Rijad Smajic,Köln,BIH,DF,18,0,0,0
Georg Strauch,Köln,GER,DF,21,0,0,0
Jonas Urbig,Köln,GER,GK,19,0,0,0
Karim Onisiwo,Mainz 05,AUT,"FW,MF",30,19,7,1
Aarón Martín,Mainz 05,ESP,DF,25,17,3,2
Dominik Kohr,Mainz 05,GER,MF,29,17,2,0
